province_state,country_region,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,uid,iso3,testing_rate,hospitalization_rate
Manitoba,Canada,2020-04-29 12:32:29,53.7609,-98.8139,273,6,0,267,,19.818267215577,,,2.1978021978022,12403,CAN,,
Martinique,France,2020-04-29 12:32:29,14.6415,-61.0242,175,14,83,78,,46.6337121767284,,,8,474,MTQ,,
Mayotte,France,2020-04-29 12:32:29,-12.8275,45.166244,460,4,235,221,,168.613665771059,,,0.869565217391304,175,MYT,,
Montserrat,United Kingdom,2020-04-29 12:32:29,16.742498,-62.187366,11,1,2,8,,220.04400880176,,,9.09090909090909,500,MSR,,
New Brunswick,Canada,2020-04-29 12:32:29,46.5653,-66.4619,118,0,0,118,,15.128340895367,,,0,12404,CAN,,
New Caledonia,France,2020-04-29 12:32:29,-20.904305,165.618042,18,0,17,1,,6.30492730068549,,,0,540,NCL,,
New South Wales,Australia,2020-04-29 12:32:29,-33.8688,151.2093,3016,40,2266,710,,37.1520078837152,,,1.3262599469496,3602,AUS,,
Newfoundland and Labrador,Canada,2020-04-29 12:32:29,53.1355,-57.6604,258,3,0,255,,49.4854852166908,,,1.16279069767442,12405,CAN,,
Ningxia,China,2020-04-29 12:32:29,37.2692,106.1655,75,0,75,0,,1.09011627906977,,,0,15620,CHN,,
Northern Territory,Australia,2020-04-29 12:32:29,-12.4634,130.8456,28,0,25,3,,11.400651465798,,,0,3603,AUS,,
Northwest Territories,Canada,2020-04-29 12:32:29,64.8255,-124.8457,5,0,0,5,,11.1348654908249,,,0,12406,CAN,,
Nova Scotia,Canada,2020-04-29 12:32:29,44.682,-63.7443,915,27,0,888,,93.6102560010312,,,2.95081967213115,12407,CAN,,
Ontario,Canada,2020-04-29 12:32:29,51.2538,-85.3232,16500,1072,0,15428,,112.154663047628,,,6.4969696969697,12408,CAN,,
Prince Edward Island,Canada,2020-04-29 12:32:29,46.5107,-63.4168,27,0,0,27,,17.0715360588778,,,0,12409,CAN,,
Qinghai,China,2020-04-29 12:32:29,35.7452,95.9956,18,0,18,0,,0.298507462686567,,,0,15621,CHN,,
Quebec,Canada,2020-04-29 12:32:29,52.9399,-73.5491,25761,1683,0,24078,,301.733235539328,,,6.5331314778153,12410,CAN,,
